순위,관광지명,주소,분류,외지인 검색 수
1,신라호텔서울,서울 중구 동호로 249-0,호텔,175564
2,현대시티아울렛동대문점,서울 중구 장충단로13길 20-0,쇼핑몰,156758
3,두산타워,서울 중구 장충단로 275-0,쇼핑몰,134544
4,롯데호텔서울점,서울 중구 을지로 30-0,호텔,126064
5,밀레니엄서울힐튼호텔,서울 중구 소월로 50-0,호텔,105505
6,웨스틴조선호텔,서울 중구 소공로 106-0,호텔,96004
7,밀리오레동대문점,서울 중구 장충단로 263-0,쇼핑몰,95186
8,더플라자호텔,서울 중구 소공로 119-0,호텔,81862
9,방산종합시장,서울 중구 동호로37길 20-0,시장,75679
10,남대문시장,서울 중구,시장,63700
11,반얀트리클럽앤스파서울,서울 중구 장충단로 60-0,호텔,60248
12,그랜드앰배서더서울,서울 중구 동호로 287-0,호텔,58153
13,신라면세점서울점,서울 중구 동호로 249-0,면세점,56046
14,충무아트센터,서울 중구 퇴계로 387-0,공연시설,43397
15,디오트쇼핑몰,서울 중구 다산로 293-0,쇼핑몰,41598
16,롯데면세점본점,서울 중구 남대문로 81-0,면세점,38445
17,ddp패션몰,서울 중구 마장로 22-0,쇼핑몰,37313
18,제일평화시장,서울 중구 마장로 13-0,시장,36646
19,서울시립미술관,서울 중구 덕수궁길 61-0,전시시설,35493
20,세종호텔,서울 중구 퇴계로 145-0,호텔,33751
21,노보텔앰배서더호텔서울동대문,서울 중구 을지로 238-0,호텔,33698
22,코리아나호텔서울,서울 중구 세종대로 135-0,호텔,33313
23,대한극장,서울 중구 퇴계로 212-0,공연시설,32854
24,국립극장,서울 중구 장충단로 59-0,공연시설,31422
25,신세계면세점명동점,서울 중구 퇴계로 77-0,면세점,29927
26,호텔PJ,서울 중구 마른내로 71-0,호텔,29716
27,코트야드바이메리어트서울남대문,서울 중구 남대문로 9-0,호텔,26222
28,누죤,서울 중구 을지로45길 62-0,쇼핑몰,25376
29,눈스퀘어,서울 중구 명동길 14-0,쇼핑몰,24143
30,롯데시티호텔명동,서울 중구 삼일대로 362-0,호텔,23117
31,프레지던트호텔,서울 중구 을지로 16-0,호텔,22606
32,두타면세점,서울 중구 장충단로 275-0,면세점,22052
33,명보아트홀,서울 중구 마른내로 47-0,공연시설,21665
34,청평화시장,서울 중구 청계천로 334-0,시장,21523
35,티마크그랜드호텔명동지점,서울 중구 퇴계로 52-0,호텔,21283
36,서울로얄호텔,서울 중구 명동길 61-0,호텔,20411
37,메가박스동대문,서울 중구 장충단로 247-0,공연시설,20326
38,중부시장,서울 중구 을지로32길 34-0,시장,20155
39,남산골한옥마을,서울 중구 퇴계로34길 28-0,역사유적지,19162
40,남산공원,서울 중구 소파로 46-0,도시공원,18832
41,이비스앰배서더호텔명동,서울 중구 남대문로 78-0,호텔,18389
42,서울중앙시장,서울 중구 퇴계로85길 22-0,시장,17710
43,롯데피트인동대문점,서울 중구 을지로 264-0,쇼핑몰,17367
44,동대문역사문화공원,서울 중구 을지로 281-0,도시공원,17084
45,레스케이프호텔,서울 중구 퇴계로 67-0,호텔,16500
46,덕수궁,서울 중구 세종대로 99-0,역사유적지,15897
47,황학동주방기구거리,서울 중구,기타쇼핑시설,15737
48,평화시장,서울 중구 청계천로 274-0,시장,15732
49,라마다호텔앤스위트서울남대문,서울 중구 칠패로 27-0,호텔,15313
50,신평화패션타운,서울 중구 청계천로 298-0,시장,14748
51,나인트리프리미어호텔명동2,서울 중구 마른내로 28-0,호텔,14599
52,프레이저플레이스센트럴서울,서울 중구 통일로 78-0,호텔,13916
53,HelloAPM,서울 중구 장충단로 253-0,쇼핑몰,13540
54,퍼시픽호텔,서울 중구 퇴계로20길 2-0,호텔,13444
55,에이피엠플레이스,서울 중구 을지로 276-0,쇼핑몰,12870
56,베스트웨스턴프리미어호텔국도,서울 중구 을지로 164-0,호텔,12780
57,CGV동대문,서울 중구 장충단로13길 20-0,공연시설,12391
58,프레이져플레이스남대문,서울 중구 세종대로 58-0,호텔,12103
59,맥스타일,서울 중구 마장로 3-0,쇼핑몰,12035
60,호암아트홀,서울 중구 서소문로 88-0,공연시설,11939
61,밀리오레명동점,서울 중구 퇴계로 115-0,쇼핑몰,11708
62,조선일보미술관,서울 중구 세종대로21길 33-0,전시시설,11460
63,SFC몰,서울 중구 세종대로 136-0,쇼핑몰,11349
64,손기정체육공원,서울 중구 손기정로 101-0,도시공원,11208
65,숭례문,서울 중구 세종대로 40-0,역사유적지,10989
66,티마크호텔명동,서울 중구 충무로 15-0,호텔,10964
67,라마다서울동대문,서울 중구 동호로 354-0,호텔,10490
68,소테츠호텔즈더스프라지르서울명동,서울 중구 남대문로5길 15-0,호텔,9422
69,디자이너클럽,서울 중구 을지로45길 72-0,쇼핑몰,9393
70,만리재길,서울 중구,자연경관(산),9274
71,롯데호텔L7명동,서울 중구 퇴계로 137-0,호텔,9260
72,남산케이블카,서울 중구 소파로 83-0,기타관광,8794
73,호텔스카이파크명동센트럴점,서울 중구 명동9길 16-0,호텔,8525
74,바비엥스위트2,서울 중구 통일로 114-0,호텔,8433
75,호텔그레이스리서울,서울 중구 세종대로12길 12-0,호텔,8186
76,알로프트호텔서울명동,서울 중구 남대문로 56-0,호텔,7888
77,서울유스호스텔,서울 중구 퇴계로26가길 6-0,호스텔,7809
78,르와지르호텔,서울 중구 퇴계로 115-0,호텔,7751
79,호텔스카이파크동대문1호점,서울 중구 동호로 335-0,호텔,7728
80,혜양엘리시움,서울 중구 마장로1길 18-0,쇼핑몰,7448
81,안중근의사기념관,서울 중구 소월로 91-0,전시시설,7360
82,호텔스카이파크킹스타운동대문점,서울 중구 장충단로13길 20-0,호텔,7101
83,서울광장,서울 중구 세종대로 110-0,도시공원,6706
84,CGV명동역씨네라이브러리,서울 중구 퇴계로 123-0,공연시설,6361
85,광희문,서울 중구,역사유적지,6270
86,토요코인호텔서울동대문1,서울 중구 퇴계로 337-0,호텔,6145
87,뉴서울호텔,서울 중구 세종대로22길 16-0,호텔,6084
88,호텔신라영빈관,서울 중구 동호로 249-0,호텔,5968
89,CGV명동,서울 중구 명동길 14-0,공연시설,5837
90,크라운파크호텔,서울 중구 남대문로7길 19-0,호텔,5749
91,써미트호텔,서울 중구 장충단로 198-0,호텔,5710
92,뉴국제호텔,서울 중구 세종대로22길 12-0,호텔,5678
93,ENA스위트호텔,서울 중구 세종대로11길 36-0,호텔,5649
94,서소문역사공원,서울 중구 칠패로 5-0,도시공원,5314
95,국립정동극장,서울 중구 정동길 43-0,공연시설,5210
96,이비스스타일앰배서더명동,서울 중구 삼일대로 302-0,호텔,5196
97,오리엔스호텔&레지던스,서울 중구 삼일대로2길 50-0,호텔,4990
98,우정아트센터,서울 중구 세종대로 55-0,전시시설,4944
99,동화상가,서울 중구 장충단로13길 34-0,시장,4731
100,스타즈호텔명동1호점,서울 중구 충무로9길 20-0,호텔,4698
